configuration,channel,median_trial_std_uv,median_trial_peak_to_peak_uv,median_channel_correlation,line_noise_ratio_50hz,median_edge_to_middle_rms_ratio,suspect,suspect_reasons
raw,E72,166.28699832225692,598.3502891157125,0.8201719205866282,55430.6109075907,1.0093801937282836,False,
raw,E73,153.00138741620017,788.6255565775164,0.5297612465236711,7887.121477020904,1.1421033484914598,False,
raw,E74,170.28960107178068,659.2747159263135,0.8487000454491256,17046.916759516364,1.016551908545207,False,
raw,E75,154.4092843032833,553.2193715412768,0.8631055664397868,41298.573837923184,1.0125341731826158,False,
raw,E76,154.92585019593972,558.787209967616,0.8301618127949031,49001.810093517925,1.011726577445943,False,
raw,E77,154.94880092782924,551.0243374332072,0.8129046494788059,52709.168430462254,1.0046191135923337,False,
raw,E78,106.8374582185971,444.6252872789662,0.7574010468996938,36660.745066558185,1.0491165634364916,False,
raw,E79,334.64102301056596,1016.3840384657772,-0.8323680883406911,106862.86148229521,1.008137143787225,True,variance_outlier;low_correlation
raw,E80,297.5625111677533,899.9033916555081,-0.8347620127526605,98811.61899432249,0.9997415089663413,True,variance_outlier;low_correlation
raw,E81,212.88029793798123,1043.6926500857426,0.7062896255818574,19344.13029169239,1.0748996543885239,False,
raw,E82,164.7733917478371,722.7883793463516,0.8263595242362508,23437.32281078757,1.0134524422885431,False,
raw,E83,167.68157550687565,614.3789215593056,0.7988984735874741,44067.43048642757,1.007510017214252,False,
raw,E84,169.17112910578038,597.9882185144452,0.8092320123083777,46310.60722775055,1.0082335529106732,False,
raw,E85,151.72848753496368,553.8556204291115,0.7780184599837889,41224.177499755795,0.9949620015827597,False,
raw,E86,131.96350369681758,515.5085123335784,0.8420221243097776,30699.566615166237,1.0035584589367796,False,
raw,E87,270.2724622704824,846.4588527149999,-0.7964443245820377,87250.71656713066,1.0036688157331872,True,variance_outlier;low_correlation
raw,E88,172.16403141407352,798.7203795389814,0.7915878356363709,23616.39907629794,0.999511192408124,False,
raw,E89,169.24412249615636,666.0009888307009,0.8508965630933235,30737.53036887183,1.0113926502785127,False,
raw,E90,162.8871850157317,595.5566063933379,0.8428688766963018,36021.124732025724,1.0127037063804134,False,
raw,E91,152.033528435634,597.0272537590603,0.8033091192870199,31633.69139820229,1.0162511252301767,False,
raw,E92,149.25210184925032,623.9579510556287,0.8501648201147652,26478.572001028486,1.0018695497769299,False,
raw,E93,139.13507769466364,625.3300095668544,0.8639574953636763,20332.662385390155,0.9966691037719705,False,
raw,E94,213.26115530460535,1012.3352062121248,0.7093808410185312,24439.708423206506,1.0258628034259696,False,
raw,E95,164.4845901782543,650.1802298422317,0.8283668290124294,27318.82354074341,1.0142432946119249,False,
raw,E96,155.64558838584165,691.5356900736551,0.8327538345032656,20710.74734432742,1.0124951933325934,False,
raw,E97,168.55223783049786,776.8162938812629,0.8461308306827603,18462.52360882147,0.9944456285149378,False,
raw,E98,150.68633007643223,688.2835374140604,0.8706876693925985,19492.248478737572,0.9959809012402294,False,
raw,E99,229.81572311787212,1290.4218005585717,0.4488878661916481,17358.87180330882,1.0281887051850596,False,
raw,E100,168.72834115760037,752.067602610774,0.5220344059548895,19793.99271218696,1.0458256274032856,False,
raw,E101,173.58656181297474,648.8281783281109,0.8488970451272387,16959.25896914406,1.0078010515469389,False,
raw,E102,146.96203604278074,657.5755848219005,0.8626162211212021,21254.356465573925,0.9980714422897617,False,
raw,E103,14848.99619194518,93395.36684648476,-0.10041899076092069,29979.477774547307,1.060507929189465,True,variance_outlier;peak_to_peak_outlier;low_correlation
raw,E104,43.105285184704556,297.77305264887127,-0.03378663370694947,1165.6227490147157,1.1687354859862573,True,variance_outlier;low_correlation
