channel,mean_uv,global_std_uv,global_peak_to_peak_uv,sampled_local_std_uv,sampled_local_peak_to_peak_uv,flat_fraction,nonfinite_values,median_channel_correlation,line_noise_ratio_50hz,high_frequency_ratio_35_45_to_8_30,robust_z_log_std,robust_z_log_peak_to_peak,robust_z_log_line_noise,robust_z_log_high_frequency,robust_z_median_correlation,suspect,suspect_reasons
E41,-36021.97072609722,52525.02238358492,659624.8125,179.768836167838,643.9739337263959,0.0001483483634950281,0,0.9925601504524978,13257.8495103813,0.21131112584957656,-1.0857137972867743,-0.5923463111488197,-0.8244111023665301,0.8714462817929176,0.555581850498176,False,
E42,-35068.573457371574,53092.87518894912,395610.97656249994,69.3910262632306,326.4325887339478,0.00017060061801928232,0,0.9926515595155453,3873.7047372664574,0.12910249773107627,-9.158517805266573,-3.5489660883415177,-2.510249177657478,-0.0055480922087200145,0.5765777230672107,True,variance_outlier
E43,-35491.85681896164,54009.98609362251,664076.5,239.58746543808616,1102.5242046274698,0.000939045140923528,0,0.9913462171771136,18498.823726053233,0.16381966279087384,1.3503112096300476,1.747499168706639,-0.367980870302346,0.4183488553076996,0.2767518580713421,False,
E44,-41904.997485514206,50264.90578016989,661959.375,208.15332387110135,849.797275515788,0.0007788289083488976,0,0.9887668632916404,14194.955114488943,0.171602814758256,0.15756899484995537,0.6145210395941165,-0.7308322486100157,0.5009647433430009,-0.3157034596436872,False,
E45,-43206.94986788816,48604.001462794055,658272.34375,205.16418708154686,937.2507567793018,0.00016763365074938175,0,0.9826669187228747,3784.7668820327617,0.4286351014633351,0.03490244715573233,1.0407722476870778,-2.5420743825409233,2.1303143210487354,-1.7168080610269278,False,
E46,-42301.35507301084,49095.13139142702,659843.40625,196.00779105668326,833.451220120799,0.00015279881439987894,0,0.9886755163408859,4090.500930699008,0.46624653695581186,-0.352289214159264,0.5300017034788405,-2.435634609461554,2.2800180079866683,-0.33668506555529426,False,
E47,-38103.960868516864,51413.322689432505,652084.09375,181.82170093456625,627.1987333814227,0.0001409309453202767,0,0.9937580674770847,22291.147237788326,0.11773757373901354,-0.989418619952012,-0.7072055874865038,-0.11246660629142347,-0.1695618563594471,0.8307330483989283,False,
E48,-35698.36267124027,53758.36772671851,664656.9375,247.19118156524047,1039.24191396292,0.0006423484139334716,0,0.9919036855172874,14918.478167245366,0.22954077009734208,1.615274853898628,1.490273520843691,-0.6627152472604368,1.0187302450125828,0.404797522706129,False,
E49,-35498.44410851775,53671.50875533452,665263.65625,211.0951906079189,861.014496877945,0.00019433635617848683,0,0.9932364964866516,18890.113579025077,0.14220229419951255,0.27658768819582485,0.6715856658433927,-0.3393009157108798,0.1664672532136437,0.710932695066903,False,
E50,-44120.76343747807,48078.09610070869,658328.375,558.7991405260472,3398.064800601689,0.0001498318471299784,0,0.9101788279028504,2337.48336789525,0.16118368728206492,8.53229017049404,6.645662383262361,-3.202376312170334,0.38947629343728685,-18.36669667042011,True,variance_outlier;peak_to_peak_outlier;low_correlation
E51,-38073.542303017566,51419.78503762596,659200.375,176.58941301816932,609.2569237553248,0.0001498318471299784,0,0.9935878114354768,20879.971457818014,0.09906750277892701,-1.237045398047605,-0.8335034137857924,-0.2020752086622802,-0.47687121487585493,0.7916267056082724,False,
E52,-33893.14024763233,53788.22538120526,450444.546875,196.94415101603698,663.7349681117378,0.00014389791259017726,0,0.9921110665368612,22964.1660475381,0.1149427891380624,-0.31187251858776804,-0.46082099720907516,-0.0717101153079129,-0.21232127186595912,0.45243115240372817,False,
E53,-33050.78036412656,54261.60602323129,380008.32031249994,46.78175416039572,266.37430091936324,0.00019878680708333767,0,0.9894917543706944,2668.5915711446924,0.09365190000654894,-12.502115681629167,-4.433735142131676,-3.0208605953600505,-0.576930634561438,-0.14920223739247587,True,variance_outlier
E54,-31752.13378110384,54990.975532018885,371877.91015625,329.65661483311715,1005.3799041884647,0.00012461262533582362,0,0.9768220169901038,72259.25152640635,0.10125313493150646,4.056750610665451,1.3461226917888218,1.498960234477642,-0.43803017262504906,-3.0593315249860713,True,variance_outlier
E55,-33303.54796019005,53921.33656053781,370328.375,177.78433409325208,534.9761370400107,0.00014686487986007783,0,0.9843563955719736,89311.86352667547,0.10600053984663094,-1.17985331526604,-1.3992877158148198,1.7892653780454757,-0.35647485668253065,-1.3287498154940618,False,
E56,-38125.01729730383,51623.20666267836,656875.21875,351.2164895082991,1792.4785861433256,0.0001498318471299784,0,0.9887366762125669,24817.471241196443,0.10471196663169934,4.594007328492721,3.862357808520426,0.03463339335664769,-0.37824425694231445,-0.32263717107589046,True,variance_outlier;peak_to_peak_outlier
E57,-44599.65793881712,47808.85161466216,661072.15625,208.09492520024813,741.1093696881908,0.00017356758528918288,0,0.9844285120731178,17246.508942754812,0.13170472221672747,0.15518937746864908,0.019008019583019495,-0.46402682614998253,0.02997099739057681,-1.312185277824967,False,
E58,-39725.9370622324,50634.85874663607,663647.28125,203.1046708456043,729.6033964227017,0.00017653455255908345,0,0.9933187288395187,15142.936420552714,0.14345796099540015,-0.05065921968177345,-0.04908177944344804,-0.6422535631424885,0.18211492224818537,0.7298207565379199,False,
E59,-33065.619359708304,54291.45494378187,406581.64843749994,188.21393609270166,632.4422092889026,0.00013648049441542586,0,0.9872805725195798,20438.16078631253,0.09404737756607674,-0.6963907125407518,-0.6709768908304374,-0.23137868955754404,-0.5694302738314267,-0.6570916175608299,False,
E60,-32682.73210520329,54525.48691002358,365184.2578125,139.69295273982442,481.432375877145,0.00015428229803482924,0,0.9876138464431038,20028.50765732131,0.073491118914808,-3.2247328718878654,-1.858190293743822,-0.2591208833061151,-1.008410945296695,-0.5805414747674816,False,
E61,-33517.60020395673,53877.91494915341,317238.234375,60.60739563965451,272.41759871060117,0.00018395197073383486,0,0.9904523207104521,9288.1869927681,0.056428309907037295,-10.306287570984722,-4.3361128851409445,-1.3119842050338746,-1.4786454995559264,0.07143155745538761,True,variance_outlier
E62,-32333.989206636583,54571.637527961335,494425.34375,166.40443014400913,560.0209858365108,0.0001349970107804756,0,0.9856972584145803,58927.44766304591,0.035401838292063295,-1.7408455117156323,-1.2001933924376866,1.2195077001243892,-2.3084413830144705,-1.020765197368228,False,
E63,-41590.32662441221,49859.65768198491,665661.0,239.74980089442306,1059.2505961760653,0.0003604865232929183,0,0.9772688038698926,27311.950989962697,0.08157833236908743,1.3560553996034908,1.5732589640542847,0.16586426676850885,-0.8225923708584773,-2.956708436193594,False,
E64,-39702.4226711222,50577.500261718895,665233.5624999999,220.3695026555722,752.9717007719237,0.0001809850034639343,0,0.9929818613134908,27425.40151723578,0.0769096956375562,0.6412240101038785,0.08810875935611685,0.1715440333959321,-0.9274841736951394,0.6524451942760826,False,
E65,-35286.79381909201,53220.36420734613,398984.40624999994,212.98343005481493,709.1396841457688,0.000142414428955227,0,0.9929739696906428,34793.23390856275,0.0584235936357098,0.3521091076509513,-0.1728782192347682,0.4975825160649832,-1.4167965362147432,0.6506325566430623,False,
E66,-31304.40005273126,55591.10925879001,637951.40625,209.42250028586494,685.4056127745025,0.0001349970107804756,0,0.9800131394342293,41711.17242631005,0.050460197750300584,0.20912088222078054,-0.32101375374600916,0.7460590086620862,-1.6776120853181153,-2.3263582512721777,False,
