trial,channel,correlation,nrmse,delta_relative_error,theta_relative_error,alpha_relative_error,beta_relative_error,gamma_relative_error
10,E65,0.3799843285484476,1.730017567994494,2.1442577074577316,1.2648054439285124,0.5285935683526504,1.2600291939149781,1.6006470567713438
10,E83,0.4971501844454743,2.144671961983212,3.5520866601391927,0.3437359618215708,0.1781168245577932,0.062127548490329906,0.3885773768527785
10,E96,-0.05345711249680304,16.48210674611048,225.7303817615665,25.4382001315567,2.9806137819209795,1.0293830836869948,0.2323115910435453
10,E116,-0.07158759361078934,6.540738876193017,226.37993108274623,202.3222533041903,47.352926957878815,4.9559426495502805,0.19348257664836077
11,E5,0.24748202120379484,5.685771093302096,16.464606114651854,5.798846303845872,1.4089676248722607,1.2490633682477854,0.42174151623094014
11,E18,0.7160150943473249,0.8961569757651118,0.31140832335220286,0.06952617524441793,0.1875330565512663,0.21869269413326706,0.12621266041068555
11,E28,0.4197644572944004,1.0539893453034908,0.055367575149727996,0.3734387292577538,0.315343129562531,0.558877945720776,0.6260306975924846
11,E41,0.1119200701736602,1.4291988955242843,0.24210411135853668,0.018067195701760838,0.16241385297414496,0.37813093689574695,0.5424937436790336
11,E65,0.4799436663589792,1.389474359145303,1.535410564100962,1.3559668244006786,0.2766277428783524,0.9658621236857519,1.1087842742453278
11,E83,0.5839256744137349,1.403146864168227,1.9592834494706362,0.2862686119792903,0.12829290381581587,0.014168634825635662,0.2206598599035074
11,E96,0.009750676483322463,11.72029669579663,117.93231715362393,15.88926772126159,1.1515548426177977,0.7320405154390449,0.4508720968586804
11,E116,-0.15881830800071078,13.175914893034754,408.89671351169784,194.1778084802951,32.39299653697801,3.4388392601510263,0.33387837407178317
